Gene,highly_variable
MAN1A2,False
FAM46C,False
WDR3,False
RP11-418J17.1,False
PHGDH,True
RP11-343N15.5,False
RP11-782C8.1,False
RP6-206I17.2,False
NBPF9,False
AL590452.1,True
RP11-326G21.1,True
NOTCH2NL,False
NBPF10,True
TXNIP,True
ANKRD34A,False
LIX1L,False
RBM8A,False
PEX11B,False
ANKRD35,False
PIAS3,True
RNF115,False
NBPF12,False
RP11-337C18.8,False
CHD1L,False
BCL9,False
GPR89B,False
NBPF15,True
RP11-666A1.5,True
NBPF16,False
RP11-14N7.2,False
RP11-403I13.5,False
RP11-196G18.24,True
HIST2H2AC,False
BOLA1,False
VPS45,False
PLEKHO1,False
CA14,False
C1orf54,False
C1orf51,False
MRPS21,False
PRPF3,False
RPRD2,False
TARS2,False
LINC00568,False
SETDB1,False
PRUNE,False
C1orf56,False
MLLT11,True
GABPB2,False
SCNM1,False
PIP5K1A,False
PSMD4,False
ZNF687,False
RP11-126K1.6,True
PSMB4,False
CGN,False
TUFT1,False
SNX27,False
RIIAD1,False
RP11-98D18.15,False
OAZ3,False
RP11-98D18.9,False
FLG-AS1,False
CHTOP,False
SNAPIN,False
INTS3,False
SLC27A3,False
RP11-422P24.10,True
CREB3L4,False
RP11-422P24.11,False
RPS27,False
UBAP2L,False
HAX1,False
ATP8B2,True
CHRNB2,False
RP11-307C12.13,False
RP11-307C12.12,False
CKS1B,True
FLAD1,False
ZBTB7B,False
ADAM15,True
EFNA3,False
EFNA1,False
SLC50A1,False
TRIM46,False
RP11-263K19.4,True
MTX1,False
HCN3,False
FDPS,False
RUSC1,False
MSTO1,False
DAP3,False
SYT11,False
LAMTOR2,False
LMNA,True
SEMA4A,False
SLC25A44,False
PMF1-BGLAP,False
PMF1,False
RP11-139I14.2,False
APOA1BP,False
HAPLN2,False
BCAN,True
RRNAD1,False
PRCC,False
RP11-367J7.3,False
KIRREL,False
IFI16,False
CADM3,False
DARC,False
DUSP23,False
KCNJ9,True
ATP1A2,False
CASQ1,False
PEA15,True
NCSTN,False
NHLH1,True
VANGL2,False
KLHDC9,False
NIT1,True
UFC1,False
USP21,False
PPOX,False
NDUFS2,False
TOMM40L,False
PCP4L1,False
SDHC,False
RP11-122G18.5,False
HSPA6,True
FCRLB,False
DUSP12,False
ATF6,False
NOS1AP,True
C1orf226,True
UHMK1,False
UAP1,False
DDR2,False
HSD17B7,False
RGS4,False
NUF2,True
PBX1,False
RP11-306I1.2,False
MGST3,False
UCK2,False
POGK,False
MAEL,False
POU2F1,True
MPZL1,False
DCAF6,False
TIPRL,False
SFT2D2,False
ATP1B1,True
BLZF1,False
C1orf112,False
GORAB,True
PRRC2C,False
METTL13,False
DNM3,False
SUCO,False
PRDX6,False
KLHL20,False
DARS2,False
GAS5-AS1,False
ZBTB37,True
RABGAP1L,False
CACYBP,False
PAPPA2,False
BRINP2,False
RASAL2,False
RP5-1098D14.1,False
RALGPS2,False
FAM20B,False
SOAT1,True
TDRD5,False
TOR1AIP1,False
CEP350,False
QSOX1,False
LHX4,True
XPR1,True
KIAA1614,False
IER5,False
RP11-309G3.3,True
CACNA1E,False
RP11-33M22.2,False
RP11-317P15.4,True
NPL,False
DHX9,False
LAMC1,True
LAMC2,False
SMG7,False
RGL1,False
TSEN15,False
C1orf21,False
RNF2,False
SWT1,False
GS1-279B7.2,True
C1orf27,False
RP11-295K2.3,False
PLA2G4A,False
RP11-547I7.2,False
RGS2,True
TROVE2,False
CDC73,False
CRB1,False
C1orf53,True
LHX9,True
NEK7,False
CAMSAP2,False
C1orf106,False
RP11-168O16.1,False
NAV1,True
IPO9,False
SHISA4,False
RP11-307B6.3,False
TIMM17A,False
RNPEP,False
GPR37L1,False
PPP1R12B,False
PCAT6,True
RP11-480I12.7,False
TMEM183A,False
PPFIA4,True
ADORA1,False
BTG2,True
OPTC,False
ATP2B4,False
ZC3H11A,False
SNRPE,False
MDM4,False
NFASC,False
CNTN2,True
TMCC2,False
RP11-576D8.4,False
CDK18,False
MFSD4,False
AC119673.1,False
SRGAP2,False
RASSF5,False
MAPKAPK2,False
PFKFB2,False
CD55,False
CD46,False
CAMK1G,True
G0S2,False
DIEXF,False
SYT14,False
HHAT,True
RCOR3,False
TRAF5,False
DTL,False
PPP2R5A,False
NENF,True
ATF3,True
TATDN3,False
FLVCR1,False
VASH2,False
RPS6KC1,False
PROX1,True
SMYD2,False
CENPF,True
KCNK2,False
KCTD3,False
SPATA17,False
RRP15,True
TGFB2,False
LYPLAL1,False
IARS2,False
MARK1,True
C1orf115,False
MARC2,False
MARC1,False
RP11-378J18.3,False
MIA3,False
BROX,False
RP11-452F19.3,False
DISP1,False
CAPN2,False
FBXO28,False
DEGS1,False
RP11-365O16.6,False
CNIH4,False
CNIH3,False
DNAH14,False
SRP9,False
EPHX1,False
H3F3A,False
C1orf95,True
PSEN2,False
ADCK3,False
SNAP47,False
ARF1,False
GUK1,False
GJC2,True
IBA57,False
OBSCN,True
RNF187,False
RHOU,True
RAB4A,False
URB2,False
GALNT2,False
COG2,False
CAPN9,False
RP5-858B6.3,False
ARV1,False
TRIM67,True
GNPAT,False
SPRTN,False
DISC1,False
MAP10,False
NTPCR,False
KCNK1,False
RP5-827C21.6,False
COA6,False
RP4-781K5.2,False
GGPS1,False
TBCE,False
GPR137B,True
EDARADD,False
